,daily_position,art_id,art_name,album_name,song_id,song_name,popularity,date
0,1,0xK5OqvQKGC1nNtl2pIbwX,Bob Log III,Guitar Party Power,7cpEBbFirsX4rq2zwqd96L,Ooo Ah Ooo Uh,11,2020-12-14
1,2,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,7HjQRQ1f42ikbZ8gDb7B0m,Weirdo,32,2020-12-14
2,3,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Precious Art,0RleBUunpuPOEINL7MoSOc,Wendy's Trash Can,42,2020-12-14
3,4,0cANwcqSsKJG0rpYFldfrV,Rose Hill Drive,Americana,4hXfw3LYoQTqfCf4K7Nxcd,Telepathic,37,2020-12-14
4,5,4MpFa3J6Q842B9TBmAAl4S,Weird Owl,Nuclear Psychology,1yihwsSymgN8WSrqHKljSk,King of Flowers (ESP),12,2020-12-14
5,6,29Wmfm1CojrjQ3aQP0FI65,All Them Witches,Lightning At The Door,2EvUjCWg5zeaeKxGeOaHPh,When God Comes Back,53,2020-12-14
6,7,692VvGTch5OLXj4zEE6H3y,Radio Moscow,Magical Dirt,0euMI4b2v9kh91EimRxzlp,So Alone,32,2020-12-14
7,8,5yC8tl2VVpS4HO758L0lSc,Cayetana,Nervous Like Me,3GO5zABb99dOHJPNUiyj0R,Serious Things Are Stupid,24,2020-12-14
8,9,6Nwhmo3adbTqPMCsgBgkf4,Slothrust,Of Course You Do,4IvPEuTkgfHfDQIxcwfcZ0,Cubicle,33,2020-12-14
9,10,7x83XhcMbOTl1UdYsPTuZM,Tom Waits,Real Gone (Remastered),4H3K3jbAgNoDIbVcU6c6kg,Hoist That Rag,45,2020-12-14
10,11,3g43Z25cVRJHFn8ph8cdO0,Rozwell Kid,Too Shabby,0xDOL7sItKiKMw7hdyUwas,Kangaroo Pocket,35,2020-12-14
11,12,0VKuugYO6uuSOCGO62vk0M,Flaco Jimenez,The Best of Flaco Jiménez,2u0s5fj0jWlUoIK4za8eEu,Un Mojado Sin Licensia,16,2020-12-14
12,13,5TYxZTjIPqKM8K8NuP9woO,C. Tangana,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),0XinBYhf1X3kdvKQHOX971,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),88,2020-12-14
13,14,5WimOFbBnCU5wI6t5PPpEk,Shocking Blue,Scorpio's Dance,6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,53,2020-12-14
14,15,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,Singles 1965-1967,1CKvinIoExZec5pv8OHtzU,Get Off Of My Cloud - (Original Single Mono Version),35,2020-12-14
15,16,6futYSDVulYR2PktBjTB5W,Big Daddy Kane,Daddy's Home,6fv8qrWMteFmNGzU6Jo0E4,Show & Prove,39,2020-12-14
16,17,0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,Too Fast For Love,06EC9TibZK2mACTZ2usK1h,Live Wire,65,2020-12-14
17,18,4gQ8biCMcMrOuBdJx639Q0,Ray Wylie Hubbard,Snake Farm,2vULyRIRIZH8dnw7lyXAcR,Snake Farm,50,2020-12-14
18,19,1X88xrhEvsoUjJ6EUHwiWF,Fuzz,Fuzz,1CW1CIucafZQqlqMHvCAZa,What's in My Head?,53,2020-12-14
19,20,6liAMWkVf5LH7YR9yfFy1Y,Portishead,Dummy,6vTtCOimcPs5H1Jr9d0Aep,Sour Times,61,2020-12-14
